
Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2002,Ricky Williams\WillRi01,RB,3,Texas Tech,College Stats,5-7,190,4.47,32.5,19,110,,,
2,2002,Mike Williams\WillMi22,OT,27,Texas,College Stats,6-6,375,5.30,30.0,29,102,,,Buffalo Bills / 1st / 4th pick / 2002
3,2002,Brian Westbrook\WestBr00,RB,80,Villanova,,5-8,200,4.57,37.0,26,118,7.09,,Philadelphia Eagles / 3rd / 91st pick / 2002
4,2002,Jonathan Wells\WellJo00,RB,10,Ohio State,College Stats,6-1,243,4.52,,,,,,Houston Texans / 4th / 99th pick / 2002
5,2002,Langston Walker\WalkLa20,OT,36,California,,6-8,344,5.26,28.5,21,102,8.09,4.95,Oakland Raiders / 2nd / 53rd pick / 2002
6,2002,Javon Walker\WalkJa00,WR,42,Florida State,College Stats,6-3,210,4.38,39.5,,128,6.86,4.05,Green Bay Packers / 1st / 20th pick / 2002
7,2002,Kurt Vollers\VollKu20,OT,6,Notre Dame,,6-7,321,5.36,30.5,30,,,,
8,2002,Chester Taylor\TaylCh01,RB,47,Toledo,College Stats,5-11,213,4.58,33.0,22,114,,,Baltimore Ravens / 6th / 207th pick / 2002
9,2002,Aaron Lockett,WR,,Kansas State,College Stats,5-7,155,4.31,35.0,,119,6.84,4.11,Tampa Bay Buccaneers / 7th / 254th pick / 2002
10,2002,Tracey Wistrom,TE,,Nebraska,College Stats,6-4,245,4.92,33.5,17,116,7.09,4.10,Tampa Bay Buccaneers / 7th / 250th pick / 2002
11,2002,Jerramy Stevens\StevJe00,TE,20,Washington,College Stats,6-7,265,4.77,,,,,,Seattle Seahawks / 1st / 28th pick / 2002
12,2002,Travis Stephens\StepTr01,RB,0,Tennessee,College Stats,5-8,194,4.60,32.0,15,121,,,Tampa Bay Buccaneers / 4th / 119th pick / 2002
13,2002,Donte' Stallworth\StalDo00,WR,45,Tennessee,College Stats,6-0,197,4.22,,,,,,New Orleans Saints / 1st / 13th pick / 2002
14,2002,Charles Stackhouse\StacCh00,FB,1,Mississippi,College Stats,6-2,252,4.93,29.0,20,111,7.63,4.53,
15,2002,Kendall Simmons\SimmKe20,OG,42,Auburn,,6-3,311,5.30,28.5,24,98,7.84,4.71,Pittsburgh Steelers / 1st / 30th pick / 2002
16,2002,Jeremy Shockey\ShocJe00,TE,59,Miami (FL),College Stats,6-5,255,4.64,,,,,,New York Giants / 1st / 14th pick / 2002
17,2002,Brandon Doman,QB,,BYU,College Stats,6-2,210,4.81,32.5,,106,6.90,4.08,San Francisco 49ers / 5th / 163rd pick / 2002
18,2002,Josh Scobey\ScobJo00,RB,3,Kansas State,College Stats,5-11,218,4.42,40.5,21,124,6.96,3.93,Arizona Cardinals / 6th / 185th pick / 2002
